ts_utc,symbol,fiscal_year,net_margin,roe,roa,debt_to_assets,ocf_ps,eps
2026-08-31T14:08:21Z,PLTR,2025,0.3631,0.2583,0.2132,0.1587,0.8926,0.6335
2026-08-31T14:08:21Z,PLTR,2024,0.1613,0.1068,0.0851,0.1966,0.4934,0.1886
2026-08-31T14:08:21Z,PLTR,2023,0.0943,0.0676,0.0526,0.2126,0.3237,0.0913
2026-08-31T14:08:21Z,MU,2025,0.2284,0.1720,0.1122,0.3458,15.6194,7.5902
2026-08-31T14:08:21Z,MU,2024,0.0310,0.0174,0.0116,0.3498,7.6709,0.6959
2026-08-31T14:08:21Z,MU,2023,-0.3754,-0.1241,-0.0894,0.3134,1.4199,-5.3367
2026-08-31T14:08:21Z,FNGR,2026,-0.2900,-0.4858,-0.1276,0.7510,-0.0637,-0.1174
2026-08-31T14:08:21Z,FNGR,2025,-0.1436,-0.3976,-0.1512,0.7202,-0.1431,-0.0919
2026-08-31T14:08:21Z,FNGR,2024,-0.1050,-0.3002,-0.2067,0.3590,-0.1561,-0.0720
2026-08-31T15:07:42Z,ORCL,2026,0.2537,0.5338,0.0795,0.8355,11.1031,5.8284
2026-08-31T15:07:42Z,ORCL,2025,0.2168,0.8238,0.0804,0.8755,7.4175,4.3416
2026-08-31T15:07:42Z,ORCL,2024,0.1976,1.9392,0.0760,0.9345,6.7779,3.7078
2026-08-31T16:04:40Z,TSLA,2025,0.0400,0.0485,0.0292,0.3987,3.9315,1.0754
2026-08-31T16:04:40Z,TSLA,2024,0.0730,0.1039,0.0624,0.3964,4.6402,2.0383
2026-08-31T16:04:40Z,TSLA,2023,0.1550,0.2739,0.1588,0.4034,4.1620,4.3039
2026-08-31T17:04:45Z,SPCX,2025,-0.2644,-0.1471,-0.0662,0.5512,0.5189,-0.3776
2026-08-31T17:04:45Z,SPCX,2024,0.0564,,,0.5478,0.4417,0.0014
2026-08-31T17:04:45Z,SPCX,2023,-0.4456,,,,,-0.3539
2026-08-31T18:03:27Z,MSFT,2026,0.4031,0.3404,0.1942,0.4167,24.6311,17.9457
2026-08-31T18:03:27Z,MSFT,2025,0.3615,0.3328,0.1800,0.4451,18.3161,13.6413
2026-08-31T18:03:27Z,MSFT,2024,0.3596,0.3713,0.1907,0.4758,15.9467,11.8002
2026-08-31T19:02:53Z,NVDA,2026,0.5560,1.0149,0.7542,0.2394,4.2264,4.8979
2026-08-31T19:02:53Z,NVDA,2025,0.5585,1.1918,0.8220,0.2892,2.6183,2.9382
2026-08-31T19:02:53Z,NVDA,2024,0.4885,0.9146,0.5567,0.3461,1.1400,1.1933
2026-09-01T16:03:28Z,AAPL,2025,0.2692,1.7142,0.3093,0.7948,7.5462,7.4650
2026-09-01T16:03:28Z,AAPL,2024,0.2397,1.5741,0.2613,0.8440,7.8227,6.0836
2026-09-01T16:03:28Z,AAPL,2023,0.2531,1.7195,0.2750,0.8237,7.1088,6.1341
